Triplet Loss

#qubits | avg(var(gradients)) - 5 layers

4  | 0.1314815024240694
6  | 0.06392428896716137
8  | 0.07638979287415218
10 | 0.02866502472461039


#layers | avg(var(gradients)) - 4 qubits

5  | 0.1314815024240694
10 | 0.10313900271878675
15 | 0.09508776897432487
20 | 0.10147689389002379



Classical 

#qubits | avg(var(gradients)) - 5 layers

4  | 0.0007206547718564749
6  | 0.0004019821490709876
8  | 0.00035558091198530887
10 | 0.00017696805331919178


#layers | avg(var(gradients)) - 4 qubits

5  | 0.0007206547718564749
10 | 0.0006395456580681298
15 | 0.0005419991384256474
20 | 0.0005202113933778635
